index,taxon_id,last_checked,droplet_ips,last_run_status,needs_attention
0,575,2022-04-14T16:14:24.646802,,in progress,
0,570,2022-04-14T16:22:52.210679,,in progress,
0,570,2022-04-14T16:22:42.939759,,in progress,
